name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria
"""Asador-Parrilla Para Llevar "" Pollos Top",39.5791131,2.6632639,4.2,358.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer Aragó, 79, Palma",Comida
Pizzeria Bellver,39.57273919999999,2.6314944,4.1,36.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer de Bartomeu Rosselló-Porcel, 2, Bajos 2, Palma",Comida
Merlin's kebap,39.5780627,2.666151,4.3,778.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer Josep Darder, 17, Palma",Comida
Domino's Pizza,39.58672,2.653309,3.8,1845.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer d'Alfons el Magnànim, 38, Palma",Comida
Arrossería Paellas Palma,39.588264,2.653507,3.8,169.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer San Francisco de Sales, 8, Palma",Comida
L'Artista Pizzeria Napoletana,39.56191,2.626769,4.3,3257.0,"['cafe', 'meal_takeaway', 'bar', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Avinguda de Gabriel Roca, 34, Palma",Comida
Asador Real,39.580724,2.677225,4.3,414.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer d'Indalecio Prieto, 45, Palma",Comida
Burger King,39.59485179999999,2.6481543,3.3,1653.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer del Bisbe Pere de Puigdorfila, 1, Palma",Comida
"Telepizza Palma de Mallorca, Alcover - Comida a Domicilio",39.5683645,2.6603112,3.2,494.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer de Joan Alcover, 33, Palma",Comida
Restaurante Chino La Suerte,39.5802091,2.6380236,4.0,481.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Avinguda de Sant Ferran, 14, Bj, Palma",Comida
Viding,39.5759252,2.625914400000001,3.8,772.0,"['gym', 'spa', 'restaurant', 'food', 'point_of_interest', 'health', 'establishment']",gym,"Avinguda de Picasso, 42, Palma",Actividad
Estudio Pilates Palma,39.5726007,2.642783399999999,4.9,45.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Avinguda de Jaume III, 26, Entresuelo 2º, Palma",Actividad
Narada Yoga & Ayurveda,39.5808222,2.6371464,5.0,10.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Jeroni Alemany, 24, Palma",Actividad
Basic-Fit,39.57607,2.645075400000001,3.8,1401.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Avinguda de Portugal, 7, Palma",Actividad
Gimnàs Grech,39.5803955,2.6466421,4.6,104.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Lluís Vives, 5, Palma",Actividad
Richards Villot,39.5822864,2.6471184,,,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer del General Riera, 44, Palma",Actividad
Gym Atlanta Studio,39.5841,2.6515099,4.7,48.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Francesc Suau, 15, Palma",Actividad
Club Taekwondo Yong,39.58364279999999,2.661618199999999,4.8,41.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer d'Eusebi Estada, 99, Palma",Actividad
Rocodrom Es Cau,39.5840837,2.6603085,4.6,245.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Jaume Ferran, 72, Palma",Actividad
YOGUINI Yoga Iyengar,39.568116,2.6505184,4.9,61.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer d'En Morei, 8, Palma",Actividad
Corpore Centre Pilates,39.57143800000001,2.6477638,4.6,17.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer Unió, 2A, 2ºA, Palma",Actividad
"Fisioholistik - Fisioterapia, Osteopatía y mucho más",39.57144559999999,2.647737799999999,5.0,9.0,"['physiotherapist', 'gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer Unió, 2A, 2ºA, Palma",Actividad
Anua Pilates Estética,39.5728815,2.645150300000001,5.0,5.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Bonaire, 6, Palma",Actividad
PalmaBalance,39.5762431,2.6531689,5.0,17.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Plaça d'Espanya, 4, 3º 1ª, Palma",Actividad
Pro Sport Palma,39.56589799999999,2.6579214,4.8,41.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Tomàs Forteza, 63, Palma",Actividad
Gimnasio VivaGym Nuredduna,39.5730265,2.6582119,4.3,840.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer Nuredduna, 5, Palma",Actividad
Herbalife Mallorca D.I.,39.56539129999999,2.6587649,1.5,2.0,"['gym', 'point_of_interest', 'health', 'store', 'establishment']",gym,"Carrer de Joan Alcover, 64, Palma",Actividad
Vital Fit Gym & Tienda Fortí,39.575929,2.6432392,4.4,144.0,"['gym', 'food', 'point_of_interest', 'health', 'store', 'establishment']",gym,"Plaça del Fortí, 2, Palma",Actividad
Imagim Palma Gimnasio,39.5753095,2.6586109,4.5,198.0,"['gym', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de Miquel Marquès, 3, Palma",Actividad
Core Group Developer,39.5719189,2.6382866,4.9,7.0,"['gym', 'general_contractor', 'point_of_interest', 'health', 'establishment']",gym,"Carrer de la Pursiana, 23, Palma",Actividad
Challenge Palma Club,39.57415779999999,2.639365,4.8,135.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer de la Indústria, 14, Palma",Actividad
CoriPilates,39.57905230000001,2.6537712,4.4,43.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer de l'Arxiduc Lluís Salvador, 19, Palma",Actividad
Anytime Fitness Palma,39.5798779,2.6525582,4.4,295.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer del 31 de Desembre, 28, Palma",Actividad
Gimnasio VivaGym Santa Catalina,39.57336799999999,2.636873999999999,3.8,321.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer de Caro, 23, Palma",Actividad
Fisiotur Clinic Fisioterapia & Readaptación,39.5802897,2.653325,4.8,32.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer de Pablo Iglesias, 11, baixos esquerra, Palma",Actividad
Lucky Bodies & Happy Souls,39.5738864,2.6357464,4.8,17.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer de Despuig, 30, Palma",Actividad
Mysore House Mallorca,39.5746374,2.6355046,4.8,39.0,"['gym', 'health', 'point_of_interest', 'establishment']",gym,"Carrer de Villalonga, 41, Palma",Actividad
Centro de bienestar y nutrición. Distribuidor independiente Herbalife,39.581798,2.645755,,,"['gym', 'local_government_office', 'health', 'point_of_interest', 'establishment']",gym,"Costa de les Germanetes, 6, Palma",Actividad
Sensei Gym Muay Thai y tienda de artes marciales,39.58238860000001,2.6539996,5.0,34.0,"['gym', 'health', 'store', 'point_of_interest', 'establishment']",gym,"Carrer d'Àngel Guimerà, 24, Palma",Actividad
Palma Sport & Tennis Club,39.57159559999999,2.631943699999999,4.6,425.0,"['gym', 'health', 'restaurant', 'point_of_interest', 'food', 'establishment']",gym,"Carrer Joan Maria Thomàs, 4, Palma",Actividad
Isla Mallorca & Spa,39.5691681,2.6278384,4.3,2051.0,"['spa', 'lodging', 'point_of_interest', 'establishment']",spa,"Carrer de Pilar Juncosa, 7, Palma",Actividad
Santa Clara Urban Hotel & Spa,39.5668394,2.6522388,4.5,238.0,"['cafe', 'spa', 'bar', 'lodging', 'store', 'point_of_interest', 'food', 'establishment']",spa,"Carrer de Sant Alonso, 16, Palma",Actividad
Posada Terra Santa,39.56989000000001,2.653394999999999,4.8,363.0,"['spa', 'bar', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",spa,"Carrer de la Posada de Terra Santa, 5, Palma",Actividad
Hotel Cappuccino - Palma,39.56971739999999,2.6502664,4.4,1470.0,"['movie_theater', 'spa', 'bar', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",spa,"Plaça de Cort, Palma",Actividad
Viding,39.5759252,2.625914400000001,3.8,772.0,"['gym', 'spa', 'health', 'restaurant', 'point_of_interest', 'food', 'establishment']",spa,"Avinguda de Picasso, 42, Palma",Actividad
Centro Odontológico Integral,39.57428099999999,2.6403144,4.7,32.0,"['dentist', 'beauty_salon', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Carrer Comte de Barcelona, 3, Bajos, Palma",Actividad
EDER BEAUTY,39.5755478,2.6528666,3.8,48.0,"['beauty_salon', 'hair_care', 'spa', 'point_of_interest', 'establishment']",spa,"1º A, Plaça de la Porta Pintada, 3, Palma",Actividad
Dermativa by Depilitiva | Depilació làser a Palma,39.5776951,2.6264008,4.8,168.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Avinguda de Picasso, 56, Palma",Actividad
"Centro de Belleza Shena, Maite Arbona",39.57127029999999,2.6527362,4.6,138.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'store', 'point_of_interest', 'establishment']",spa,"Carrer d'en Rubí, 8, Palma",Actividad
MH Boutique,39.5651027,2.6281547,5.0,3.0,"['clothing_store', 'spa', 'store', 'point_of_interest', 'establishment']",spa,"Avinguda de Gabriel Roca, nº27, 4º, Palma",Actividad
NutriBell Centro Médico Estético,39.5786996,2.6485618,4.1,35.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Carrer del General Riera, 1, Palma",Actividad
Alissi Bronte,39.5714759,2.6476863,3.4,5.0,"['beauty_salon', 'spa', 'health', 'store', 'point_of_interest', 'establishment']",spa,"Carrer Unió, Nº2, Entresuelo 9, Palma",Actividad
bemberg Sauna Showroom Mallorca,39.56958449999999,2.6504502,,,"['spa', 'health', 'point_of_interest', 'establishment']",spa,"Plaça de Cort, 14, Palma",Actividad
Sanuk Mallorca,39.57210000000001,2.64939,4.9,348.0,"['spa', 'point_of_interest', 'establishment']",spa,"Carrer de Can Campaner, 5, Palma",Actividad
️ Peluquería Equipo's | Extensiones de pelo en Mallorca | Haarverlängerungen,39.5714993,2.6460757,4.7,169.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'store', 'point_of_interest', 'establishment']",spa,"Carrer de Can Asprer, 3, Palma",Actividad
Puro SPA,39.56930450000001,2.6452908,5.0,2.0,"['spa', 'point_of_interest', 'establishment']",spa,"Carrer de Montenegro, 9, Palma",Actividad
flawless,39.567018,2.6540307,,,"['spa', 'point_of_interest', 'establishment']",spa,"Carrer dels Botons, 18, Palma",Actividad
Clínica Integral 3medic,39.571964,2.645597200000001,,,"['beauty_salon', 'hospital', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Avinguda de Jaume III, 8, Palma",Actividad
INNOVA estética avanzada,39.5746486,2.6525592,4.7,73.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Passatge Particular Joan XXIII, Palma",Actividad
Hands4You,39.5724014,2.6427571,4.8,199.0,"['beauty_salon', 'spa', 'point_of_interest', 'establishment']",spa,"Avinguda de Jaume III, 27, Local 14 Entresuelo 1, Palma",Actividad
INNOVA estética avanzada,39.57425219999999,2.6443892,4.9,141.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Passeig de Mallorca, 32, A, Palma",Actividad
CLINIC ZURICH MALLORCA,39.5762522,2.6476174,4.9,1877.0,"['beauty_salon', 'hair_care', 'doctor', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"C/ Barón de Pinopar, 9, Palma",Actividad
Pearl of Asia,39.5757019,2.6571264,3.9,28.0,"['beauty_salon', 'spa', 'point_of_interest', 'establishment']",spa,"Carrer del Bisbe Maura, 16, Palma",Actividad
Centro de Estética Avanzada Carmen Amengual,39.5780576,2.6525582,4.8,186.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'store', 'point_of_interest', 'establishment']",spa,"Carrer del 31 de Desembre, 6, Palma",Actividad
Clínica Dra. Marisol Galano,39.5781934,2.6467405,4.6,87.0,"['beauty_salon', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Carrer de Jesús, 7, Bajos, Palma",Actividad
popup pamper,39.57120439999999,2.6382832,5.0,35.0,"['beauty_salon', 'hair_care', 'spa', 'point_of_interest', 'establishment']",spa,Palma,Actividad
Soulmassage,39.5717398,2.6376451,4.8,64.0,"['spa', 'point_of_interest', 'establishment']",spa,"Carrer d'Anníbal, 24, Bajo, Palma",Actividad
"Thai Wellness ""Massage in Mallorca""",39.5729823,2.6376182,4.7,159.0,"['spa', 'health', 'point_of_interest', 'establishment']",spa,"Carrer de Cotoner, 20, Palma",Actividad
"Jorge Martín , Peluquería y Estética.",39.5820127,2.6481909,3.6,110.0,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Carrer d'Ausiàs March, 27, Palma",Actividad
COS centro de quiromasaje,39.573379,2.6323429,4.9,46.0,"['beauty_salon', 'spa', 'health', 'point_of_interest', 'establishment']",spa,"Carrer d'Avinyó, 16, Palma",Actividad
Hotel Cappuccino - Palma,39.56971739999999,2.6502664,4.4,1470.0,"['movie_theater', 'spa', 'bar', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",movie_theater,"Plaça de Cort, Palma",Actividad
Cineciutat,39.58482079999999,2.6495467,4.5,1013.0,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Carrer de l'Emperadriu Eugènia, 6, Palma",Actividad
Ocimax Palma Aficine,39.595122,2.6485207,4.2,7846.0,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Carrer del Bisbe Pere de Puigdorfila, 1, Palma",Actividad
Asociación Xarxa Cinema,39.5846001,2.6499669,,,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Carrer de l'Emperadriu Eugènia, 6, Palma",Actividad
Augusta,39.57663399999999,2.6534844,4.1,2072.0,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Avinguda del Gran i General Consell, 2, Palma",Actividad
Rívoli Aficine,39.57890769999999,2.6498511,4.4,1960.0,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Carrer d'Antoni Marquès, 25, Palma",Actividad
Formación para la interpretación cinematográfica,39.56713750000001,2.6517687,,,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Carrer de Can Fonollar, Palma",Actividad
Novaproducciones,39.57359599999999,2.6433177,,,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Passeig de Mallorca, Palma",Actividad
THE HOLE´S,39.5748649,2.6580198,4.7,111.0,"['movie_theater', 'night_club', 'store', 'point_of_interest', 'establishment']",movie_theater,"Carrer de Margalida Caimari, Nº 4, Palma",Actividad
Futbrawl5,39.57569469999999,2.6409221,,,"['movie_theater', 'point_of_interest', 'establishment']",movie_theater,"Carrer d'Alòs, Palma",Actividad
Alquiler Castillos Hinchables Mallorca,39.57847220000001,2.664384000000001,4.9,107.0,"['amusement_park', 'point_of_interest', 'establishment']",amusement_park,"calle Mediko, Carrer Josep Darder, 7, Palma",Actividad
Palacio Ca Sa Galesa,39.5671567,2.6500381,4.7,184.0,"['lodging', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer de Miramar, 8, Palma",Atracción
Castell de Bellver,39.5638434,2.619423099999999,4.5,23384.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer Camilo José Cela, s/n, Palma",Atracción
Es Baluard Museu d'Art Contemporani de Palma,39.5702377,2.6411417,4.2,3947.0,"['museum', 'point_of_interest', 'establishment']",museum,"Plaça de la Porta de Santa Catalina, 10, Palma",Atracción
Museum of Mallorca,39.5672221,2.650730499999999,4.2,487.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer de la Portella, 5, Palma",Atracción
Can' Sales,39.56757109999999,2.6503781,4.1,19.0,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer de la Puresa, 2, Palma",Atracción
Museu de La Seu de Mallorca,39.5674046,2.6483082,4.7,4960.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",museum,"Plaça de la Seu, s/n, Palma",Atracción
Museu Diocesà,39.5669056,2.6490567,4.4,167.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",museum,"Carrer del Mirador, 5, Palma",Atracción
ABA ART,39.5711061,2.642582,4.7,60.0,"['art_gallery', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",museum,"Plaça de la Porta de Santa Catalina, 21B, Palma",Atracción
Centre d'Historia i Cultura Militar de Balears,39.5756522,2.652009999999999,4.5,318.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer de Sant Miquel, 69, Palma",Atracción
Amics del Ferrocarril illes Balears,39.57619469999999,2.654234900000001,5.0,4.0,"['museum', 'point_of_interest', 'establishment']",museum,"Plaça d'Espanya, 6, Palma",Atracción
Transilvania Cafeteria-Museu,39.58196979999999,2.6588922,4.6,661.0,"['cafe', 'food', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer de Jaume Ferran, 38, Palma",Atracción
Poble Espanyol de Mallorca,39.57272940000001,2.627964,4.1,4184.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",museum,"Carrer del Poble Espanyol, 55, Palma",Atracción
Aula de la Mar,39.5621025,2.6707093,4.5,57.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",museum,"Carrer de Francesc Femenias, 1, Palma",Atracción
Fundación Juan March Palma,39.5722,2.652,4.6,1337.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer de Sant Miquel, 11, Palma",Atracción
Fundación Bartolomé March,39.5687345,2.6477982,4.5,223.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",museum,"Carrer del Palau Reial, 18, Palma",Atracción
Museu Krekovic,39.5675953,2.666048599999999,4.0,71.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",museum,"Carrer Ciutat de Querétaro, 3, Palma",Atracción
Perl Art,39.56960579999999,2.649779699999999,4.5,33.0,"['museum', 'point_of_interest', 'establishment']",museum,"Plaça de Cort, 3, Palma",Atracción
Centre Maimó Ben Faraig,39.5685515,2.650193899999999,3.5,11.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",museum,"Basilica de Sant Francesc, Carrer de l'Almudaina, 9, Palma",Atracción
Casa Museu Can Marquès,39.5683757,2.6500313,4.7,3.0,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer de Can Anglada, 2A, Palma",Atracción
Museu Pau Lluís Fornés,39.5679975,2.6504578,,,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer d'En Morei, 10, Palma",Atracción
Call Jueu (Jewish Quarter),39.5682129,2.6515244,3.8,39.0,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer del Call, 19, Palma",Atracción
Fantasy Museum,39.57156919999999,2.6512604,4.4,296.0,"['museum', 'point_of_interest', 'establishment']",museum,"Plaça Major, 3, Palma",Atracción
Arte Temporanea,39.569949,2.646942499999999,4.5,4.0,"['museum', 'point_of_interest', 'establishment']",museum,"Passeig del Born, 6, Palma",Atracción
Kulturzentrum Palma,39.57169219999999,2.6476962,5.0,6.0,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer Unió, 3, Palma",Atracción
Museu Marítim de Mallorca,39.5666355,2.6486024,4.7,20.0,"['museum', 'point_of_interest', 'establishment']",museum,"Plaça de Ses Voltes, Palma",Atracción
Caputxines 17 Palma,39.572957,2.6491566,4.0,1.0,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer de les Caputxines, 17, Palma",Atracción
Museo bíblico,39.5669011,2.65385,4.0,1.0,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer del Seminari, 4, 2n, Palma",Atracción
Església de Sant Felip Neri,39.5728303,2.6533746,4.5,103.0,"['museum', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",museum,"Carrer de Sant Felip Neri, 1, Palma",Atracción
Dama misteriosa,39.57059700000001,2.644245,,,"['museum', 'point_of_interest', 'establishment']",museum,"Carrer del Vi, 6, Palma",Atracción
Monument a Antoni Despuig,39.5740261,2.6480901,3.0,1.0,"['museum', 'point_of_interest', 'establishment']",museum,"Plaça de Santa Magdalena, 4, Palma",Atracción
Plaça dels Patins,39.5758672,2.6492755,4.2,53.0,"['park', 'point_of_interest', 'establishment']",park,"Carrer de la Reina Esclaramunda, 15, Palma",Atracción
Parc de Sa Riera,39.5833544,2.6411001,4.3,1837.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",park,"Carrer de Jesús, 27A, Palma",Atracción
"Cocinas Domenech, actuales en puertas, armarios a medida, parqué, persiana mallorquina",39.5811627,2.6756172,4.4,13.0,"['furniture_store', 'home_goods_store', 'park', 'point_of_interest', 'store', 'establishment']",park,"Carrer Mare de Déu de Montserrat, 55, Palma",Atracción
